Name,Main Address,Type,Website Address,Telephone Number,Specialist,Partner Status,Experience,Certification,Certification,Certification,Facebook,Twitter,Linkedin,Name,Position,Industries Served,Connected Apps,Office Address Number 1,Office Address Telephone number 1,Office Address Number 2,Office Address Telephone number 2,Office Address Number 3,Office Address Telephone number 3,Office Address Number 4,Office Address Telephone number 4,Office Address Number 5,Office Address Telephone number 5,Office Address Number 6,Office Address Telephone number 6,Office Address Number 7,Office Address Telephone number 7,Office Address Number 8,Office Address Telephone number 8,Office Address Number 9,Office Address Telephone number 9,Office Address Number 10,Office Address Telephone number 10
Steel Cap Consulting,"Goodwood Close, Shotley Bridge, England",Bookkeeper,https://steelcap.uk/,+44 7711436335,,Bronze champion partner,Partner since 2015,Xero advisor certified,,,https://www.facebook.com/steelcapuk/?pnref=about.overview,https://www.twitter.com/steelcapuk,https://www.linkedin.com/in/amanda-murray-20aaa37,Adele Hulett,Accounts Assistant,Professional services,"Receipt Bank, 
Entryless","Goodwood Close, Shotley Bridge, DH8 0UF, England",+44 7711436335,,,,,,,,,,,,,,,,,,
Michael Paul Accountants,"Old Road, Studio 2, Lamport Manor, Lamport, England",Accountant,http://www.mpaccountants.co.uk/,+44 01604 686152,,Bronze champion partner,Partner since 2015,Xero payroll certified,Xero migration certified,Xero advisor certified,,,,Paul Marks,Partner,,,"Old Road, Studio 2, Lamport Manor, Lamport, NN6 9HF, England",+44 01604 686152,,,,,,,,,,,,,,,,,,
JRS Bookkeeping,"JRS Bookkeeping, Downpatrick, Northern Ireland",Accountant,http://www.jrsbookkeeping.co.uk,+44 7776157229,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero advisor certified,Xero migration certified,Xero payroll certified,http://www.facebook.co.uk/jrsbook,https://www.twitter.com/jrsbookkeeping1,http://www.linkedin.com/in/joanne-saunders-aicb-cb-pm-7466b646,,,Repairs and personal services,AutoEntry,"JRS Bookkeeping, Downpatrick, BT30 8FB, Northern Ireland",+44 7776157229,,,,,,,,,,,,,,,,,,
Jo Routh - Bookkeeping,"Station Road, Healing, England",Accountant,#,+44 07840 984908,Making Tax Digital Ready,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero payroll certified,Xero migration certified,https://www.facebook.com/pg/jorouthbookkeeping,https://www.twitter.com/jo_routhMAAT,http://www.linkedin.com/in/joanne-routh-maat-b63365136,Joanne Routh,Accountant,,"Receipt Bank, 
AutoEntry","Station Road, Healing, DN41, England",+44 07840 984908,,,,,,,,,,,,,,,,,,
Grover & Co. Chartered Accountants,"Uxbridge Road, Near Ealing, west London, London, England",Accountant,http://www.london-school-of-accountancy.com,+44 02085677733,,Bronze partner,Partner since 2017,Xero advisor certified,Xero migration certified,Xero payroll certified,,,,,,,,"Uxbridge Road, Near Ealing, west London, London, W7 3TH, England",+44 02085677733,,,,,,,,,,,,,,,,,,
LSC London Ltd,"1 Filament Walk, 318 The Light Bulb, London, England",Bookkeeper,http://www.lsclondon.co,+44 2031762060,,Bronze partner,Partner since 2018,Xero advisor certified,,,,,,ROBERT SCRAFTON,Managing Director,"Marketing, advertising and consulting",,"1 Filament Walk, 318 The Light Bulb, London, SW18 4GQ, England",+44 2031762060,,,,,,,,,,,,,,,,,,
SAFCOM services,"15 Water Glades Close, Stoke-on-Trent, England",Bookkeeper,http://safcomservices.co.uk,+44 7701092007,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero advisor certified,Xero migration certified,Xero payroll certified,,,,Farid ud din Lodhi,Director,,,"15 Water Glades Close, Stoke-on-Trent, ST1 5GE, England",+44 7701092007,,,,,,,,,,,,,,,,,,
Quest Duthoit,"19 Farncombe Road, Worthing, England",Accountant,http://www.quest-duthoit.co.uk,+44 1903 821380,Making Tax Digital Ready,Bronze champion partner,Partner since 2018,Xero migration certified,Xero advisor certified,,,,,,,Construction and trades,,"19 Farncombe Road, Worthing, BN11 2AY, England",+44 1903 821380,,,,,,,,,,,,,,,,,,
BR Accounting & Business Services Ltd,"57 Yellowmead Road, Plymouth, England",Accountant,https://www.braccounting.co.uk,+44 01752 936207,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero migration certified,Xero payroll certified,Xero advisor certified,https://www.facebook.com/BRaccountingandbusiness,https://www.twitter.com/BRservices,https://www.linkedin.com/company/br-accounting-business-services-ltd,Ben Rendle,Director,,Receipt Bank,"57 Yellowmead Road, Plymouth, PL2 2QE, England",+44 01752 936207,,,,,,,,,,,,,,,,,,
TreyBridge Accounts Services,"Westoby Lane, Riplingham Cross Roads , East Riding of Yorkshire, England",Bookkeeper,http://treybridgeservices.com,+44 1482235575,,Bronze partner,Partner since 2018,Xero advisor certified,,,https://www.facebook.com/treybridgeservices/,https://www.twitter.com/TreyBridgeAcco1,https://www.linkedin.com/company/treybridge-financial-services,,,,,"Westoby Lane, Riplingham Cross Roads , East Riding of Yorkshire, England",+44 1482235575,,,,,,,,,,,,,,,,,,
SMB-Bookkeeping,"20 Hurst Meadow, Rochdale, England",Bookkeeper,#,+44 7817071872,,Bronze champion partner,Partner since 2018,Xero migration certified,Xero advisor certified,Xero payroll certified,,https://www.twitter.com/suebradbury474,http://linkedin.com/in/suebradbury,Susan M  Bradbury,Bookkeeper and Business Support,,,"20 Hurst Meadow, Rochdale, OL16 4QP, England",+44 7817071872,,,,,,,,,,,,,,,,,,
Social 3BL Ltd,"Consett, Consett, England",Accountant,http://www.social3bl.biz,+44 7956072610,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero advisor certified,Xero payroll certified,Xero migration certified,,,,Jenny Lawrence,Director,,,"Consett, Consett, DH8, England",+44 7956072610,,,,,,,,,,,,,,,,,,
Aspire Business Partnership,"Aspire Business Partnership, Bromsgrove, England",Accountant,http://www.aspirepartnership.co.uk,+44 0121 445 6178,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero advisor certified,Xero migration certified,,,https://www.twitter.com/aspirebusiness,https://www.linkedin.com/company/aspire-business-partnership/,,,,,"Aspire Business Partnership, Bromsgrove, B60 3DX, England",+44 0121 445 6178,,,,,,,,,,,,,,,,,,
Fairhead Bradford,"NR12 9PD, Bradford House, Yarmouth Road, Stalham, England",Accountant,http://www.fairheadbradford.co.uk,+44 01692 581908,Making Tax Digital Ready,Bronze partner,Partner since 2017,Xero migration certified,Xero advisor certified,,,,,Stuart Dickerson,Director,"Construction and trades, 
Retail, 
Agriculture, 
Real estate and hiring services",AutoEntry,"NR12 9PD, Bradford House, Yarmouth Road, Stalham, NR12 9PD, England",+44 01692 581908,"Queen Street, Great Yarmouth, NR30 2QP, England",+44 01493 842072,,,,,,,,,,,,,,,,
Watson Buckle Limited,"Wool Gate, York House, Bingley, England",Accountant,http://www.watsonbuckle.co.uk,+44 01274 516700,,Bronze champion partner,Partner since 2014,Xero advisor certified,,,https://www.facebook.com/watsonbuckleuk/,https://www.twitter.com/WatsonBuckle,https://www.linkedin.com/company/watson-buckle/,,,Professional services,Receipt Bank,"Wool Gate, York House, Bingley, BD16 1PE, England",+44 01274 516700,,,,,,,,,,,,,,,,,,
HFL Accountants Limited,"1 Saxon Way, HFL House, Melbourn, England",Accountant,http://www.hflaccounts.com,+44 1223929150,,Bronze champion partner,Partner since 2016,Xero advisor certified,,,https://www.facebook.com/hflaccounts/,https://www.twitter.com/hflaccounts,,Sharon Betts,Manager,,"AutoEntry, 
FUTRLI, 
Receipt Bank, 
Fathom","1 Saxon Way, HFL House, Melbourn, SG8 6DN, England",+44 1223929150,"Cowley Road, St John's Innovation Centre, Milton, CB4 0WS, England",+44 1223929150,,,,,,,,,,,,,,,,
HFL Accountants Limited,"1 Saxon Way, HFL House, Melbourn, England",Accountant,http://www.hflaccounts.com,+44 1223929150,,Bronze champion partner,Partner since 2016,Xero advisor certified,,,https://www.facebook.com/hflaccounts/,https://www.twitter.com/hflaccounts,,Pippa Brown,Bookeeping Manager (East),,"AutoEntry, 
FUTRLI, 
Receipt Bank, 
Fathom","1 Saxon Way, HFL House, Melbourn, SG8 6DN, England",+44 1223929150,"Cowley Road, St John's Innovation Centre, Milton, CB4 0WS, England",+44 1223929150,,,,,,,,,,,,,,,,
Bollands Chartered Accountants and Business Advisers,"Minerva Mill, Station Road, Alcester, Warwickshire",Accountant,http://www.bollands.com,+44 1789761377,,Bronze champion partner,Partner since 2010,Xero advisor certified,,,,,,,,"Professional services, 
Construction and trades","Receipt Bank, 
Float","Minerva Mill, Station Road, Alcester, B49 5ET, Warwickshire",+44 1789761377,,,,,,,,,,,,,,,,,,
Belville Consultancy,"Kenton Lane, Newcastle upon Tyne, England",Accountant,http://www.belvilleconsultancy.co.uk,+44 07988676349,Making Tax Digital Ready,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,https://www.facebook.com/BelvilleConsultancy/,https://www.twitter.com/BelvilleConsult,https://www.linkedin.com/in/belvilleconsultancy/,Ben Quigley,Owner - Belville Consultancy,Arts and recreation,Receipt Bank,"Kenton Lane, Newcastle upon Tyne, NE3 3QB, England",+44 07988676349,,,,,,,,,,,,,,,,,,
Young & Co,"Bewell Street, Bewell House, Hereford, England",Accountant,http://www.youngand.co.uk,+44 01432 263282,,Bronze champion partner,Partner since 2018,Xero advisor certified,,,https://www.facebook.com/youngandcoaccountants?fref=ts,https://www.twitter.com/Young_and_Co,https://www.linkedin.com/company/young-&-co-chartered-accountants/,,,Professional services,,"Bewell Street, Bewell House, Hereford, HR4, England",+44 01432 263282,,,,,,,,,,,,,,,,,,
Everitt Kerr & Co,"Aylesbury, 2, Crossways Business Centre, Bicester Rd, Kingswood, Aylesbury HP18 0RA, Aylesbury, England",Accountant,https://www.everittkerr.com/,+44 01296 770 777,Making Tax Digital Ready,Bronze partner,Partner since 2019,Xero advisor certified,Xero migration certified,,,,,,,Professional services,"Spotlight Reporting, 
Receipt Bank","Aylesbury, 2, Crossways Business Centre, Bicester Rd, Kingswood, Aylesbury HP18 0RA, Aylesbury, England",+44 01296 770 777,,,,,,,,,,,,,,,,,,
Kinnaird Hill,"Norfolk House, 4 Station Road, ST. IVES, Cambridgeshire",Accountant,http://www.kinnairdhill.co.uk,+44 (0)1480 465561,,Bronze champion partner,Partner since 2014,Xero advisor certified,,,,,,Michaela Barr,,"Retail, 
Manufacturing, 
Professional services, 
Arts and recreation",,"Norfolk House, 4 Station Road, ST. IVES, PE27 5AF, Cambridgeshire",+44 (0)1480 465561,,,,,,,,,,,,,,,,,,
PHH Accountancy Limited,"3 Liverpool Gardens, Second Floor, Worthing, England",Accountant,http://www.phhaccounts.com,+44 1243 924 664,,Bronze partner,Partner since 2018,Xero advisor certified,,,https://www.facebook.com/phhaccounts/,,https://www.linkedin.com/company/phh-accountancy-limited/,,,Construction and trades,"Receipt Bank, 
Wolters Kluwer CCH OneClick","3 Liverpool Gardens, Second Floor, Worthing, BN11 1TF, England",+44 1243 924 664,,,,,,,,,,,,,,,,,,
PMH Accountancy Services Ltd,"Winterburn Close, Harrogate, England",Accountant,http://www.pmhaccountancy.co.uk,+44 8000949746,,Bronze champion partner,Partner since 2016,Xero migration certified,Xero advisor certified,,,,,Paul Hill,,Construction and trades,,"Winterburn Close, Harrogate, HG3, England",+44 8000949746,,,,,,,,,,,,,,,,,,
Assure UK,"107 Cheapside, London, England",Accountant,http://www.progresswithassureuk.com,+44 02071128300,,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,https://www.facebook.com/ProgressAssureUK/,https://www.twitter.com/ProgressAssure,,,,"Finance and insurance, 
Construction and trades, 
Professional services","Xero Practice Manager, 
Receipt Bank, 
Hubdoc, 
FUTRLI","107 Cheapside, London, EC2V 6DN, England",+44 02071128300,"Marlborough Road, Banbury, OX16, England",+44 01295 477 250,,,,,,,,,,,,,,,,
Spears Consulting,"63 Haverhill Road, London, England",Accountant,http://www.spearsconsulting.co.uk/,+44 07968439098,Making Tax Digital Ready,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,,,,Jamie Spears,Founder,Professional services,,"63 Haverhill Road, London, SW12, England",+44 07968439098,,,,,,,,,,,,,,,,,,
Outsource Your Accounts,"c/o Gibson Whitter, Larch House, Parklands Business Park, Denmead",Accountant,http://www.outsourceyouraccounts.co.uk,+44 2392299383,,Bronze champion partner,Partner since 2012,Xero advisor certified,,,,,,,,"Construction and trades, 
Finance and insurance","Receipt Bank, 
AutoEntry","c/o Gibson Whitter, Larch House, Parklands Business Park, Denmead",+44 2392299383,,,,,,,,,,,,,,,,,,
SME Financial Management,"Colne Way, Unit 303B, The Wenta Business Centre, Watford, England",Accountant,http://www.smefinancialmanagement.co.uk,+44 7880710487,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero migration certified,Xero advisor certified,,,https://www.twitter.com/smefinmgt,https://www.linkedin.com/in/barrydutnall,,,Professional services,"FUTRLI, 
Receipt Bank","Colne Way, Unit 303B, The Wenta Business Centre, Watford, WD24 7ND, England",+44 7880710487,,,,,,,,,,,,,,,,,,
Kingston Burrowes Accountants,"276 Ewell Road, Surbiton, England",Accountant,http://www.kbaccountants.com,+44 20 8912 2048,,Bronze champion partner,Partner since 2010,Xero advisor certified,,,https://www.facebook.com/KBASurbiton/,https://www.twitter.com/BruceBurrowes,https://www.linkedin.com/company/kingstonburrowes/,,,"Education, 
Professional services","The Payroll Site, 
Spotlight Reporting","276 Ewell Road, Surbiton, KT6 7AG, England",+44 20 8912 2048,"135 Richmond Road, Kingston upon Thames, KT2 5BZ, England",+44 20 8912 5480,,,,,,,,,,,,,,,,
Somers Baker Prince Kurz LLP,"45 Ealing Road, Wembley, England",Accountant,http://sbpk.co.uk,+44 (0) 208 903 0337,,Bronze partner,Partner since 2018,Xero advisor certified,,,,,,,,"Real estate and hiring services, 
Professional services",AutoEntry,"45 Ealing Road, Wembley, HA0 4BA, England",+44 (0) 208 903 0337,,,,,,,,,,,,,,,,,,
Ellis and Co Chartered Accountants and Business Advisers Ltd,"114 - 120 Northgate Street, Chester, Cheshire",Accountant,https://www.ellis-uk.com/,+44 1244343504,Making Tax Digital Ready,Bronze partner,Partner since 2014,Xero migration certified,Xero advisor certified,,https://www.facebook.com/EllisandCoCharteredAccountants/,https://www.twitter.com/EllisAccounting,https://www.linkedin.com/company/1801841/,,,Professional services,,"114 - 120 Northgate Street, Chester, Cheshire, CH1 2HT",+44 1244343504,,,,,,,,,,,,,,,,,,
Leigh-West Accounting Services,"Cleves Way, Ashford, England",Bookkeeper,,,Making Tax Digital Ready,Bronze champion partner,Partner since 2015,Xero advisor certified,Xero migration certified,,,,,,,"Construction and trades, 
Accommodation and hospitality",Satago,"Cleves Way, Ashford, TN23 5DE, England",+44 7887492206,,,,,,,,,,,,,,,,,,
M W Accounting Ltd,"East Street, Andover, England",Accountant,http://www.mwaccounting.co.uk,+44 1264726357,,Bronze champion partner,Partner since 2014,Xero advisor certified,,,,,,,,"Construction and trades, 
Repairs and personal services, 
Professional services, 
Arts and recreation, 
Transportation and storage, 
Education",,"East Street, Andover, SP10 1ES, England",+44 1264726357,,,,,,,,,,,,,,,,,,
Boogles Bookkeeping Ltd,"Abbot Street, 3rd flr - Fitzroy Hse, London, England",Accountant,http://www.booglesltd.com,+44 02033718894,,Bronze champion partner,Partner since 2011,Xero payroll certified,Xero advisor certified,,https://www.facebook.com/BooglesHQ/,https://www.twitter.com/boogleshq,https://www.linkedin.com/in/boogles/,,,Professional services,Receipt Bank,"Abbot Street, 3rd flr - Fitzroy Hse, London, England",+44 02033718894,"5 Darley Avenue, Nottingham, NG7 5NQ, England",+44 02033718894,,,,,,,,,,,,,,,,
Adrian Markey - Chartered Accountant,"5A Greenan Lough Road, Newry, Northern Ireland",Accountant,http://www.adrianmarkey.com,+44 7793863318,,Bronze champion partner,Partner since 2017,Xero migration certified,Xero advisor certified,,https://en-gb.facebook.com/adrian.markey/,https://www.twitter.com/adrianmarkey,https://www.linkedin.com/company/adrian-markey---chartered-accountant/,Adrian Markey,Chartered Accountant,"Professional services, 
Accommodation and hospitality, 
Marketing, advertising and consulting",Receipt Bank,"5A Greenan Lough Road, Newry, BT34 2QD, Northern Ireland",+44 7793863318,,,,,,,,,,,,,,,,,,
Howards Accountants,"Camborne Business Centre, Suite 6,, Camborne, England",Accountant,http://www.howardsaccountants.co.uk,+44 01209 206030,,Bronze champion partner,Partner since 2018,Xero advisor certified,,,https://www.facebook.com/howardsaccountants/,https://www.twitter.com/HowardsAccounts,,Alex Howard,Accountant,Construction and trades,"Receipt Bank, 
Datamolino","Camborne Business Centre, Suite 6,, Camborne, TR14 7DB, England",+44 01209 206030,,,,,,,,,,,,,,,,,,
Harrison Seymour LLP,"Exchange Road, Cygnet House, Lincoln, England",Accountant,http://www.harrisonseymour.co.uk,+44 1522698329,,Bronze champion partner,Partner since 2017,Xero advisor certified,,,https://www.facebook.com/harrisonseymourllp/?ref=bookmarks,https://www.twitter.com/HS_LLP,https://www.linkedin.com/feed/,,,"Construction and trades, 
Real estate and hiring services",,"Exchange Road, Cygnet House, Lincoln, LN6 3JZ, England",+44 1522698329,,,,,,,,,,,,,,,,,,
Baker Tilly Mooney Moore,"Clarendon Road, Belfast, Northern Ireland",Accountant,http://www.bakertillymooneymoore.co.uk/,+44 028 90 323 466,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero migration certified,Xero advisor certified,,https://www.facebook.com/bakertillymooneymoore,https://www.twitter.com/BakerTillyMM,https://www.linkedin.com/company/baker-tilly-mooney-moore,,,Retail,,"Clarendon Road, Belfast, BT1 3BG, Northern Ireland",+44 028 90 323 466,,,,,,,,,,,,,,,,,,
Brilliant Numbers: Small Business Bookkeeping,"Redhill, Redhill, England",Bookkeeper,http://www.brilliantnumbers.co.uk,+44 (0)1342 842411,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero advisor certified,Xero migration certified,,https://www.facebook.com/BrilliantNumbers/,,https://www.linkedin.com/in/joanne-osborne/,Joanne Osborne,Managing Director,,"AutoEntry, 
Receipt Bank, 
FUTRLI","Redhill, Redhill, England",+44 (0)1342 842411,,,,,,,,,,,,,,,,,,
Brilliant Numbers: Small Business Bookkeeping,"Redhill, Redhill, England",Bookkeeper,http://www.brilliantnumbers.co.uk,+44 (0)1342 842411,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero advisor certified,Xero migration certified,,https://www.facebook.com/BrilliantNumbers/,,https://www.linkedin.com/in/joanne-osborne/,Sue Rose,,,"AutoEntry, 
Receipt Bank, 
FUTRLI","Redhill, Redhill, England",+44 (0)1342 842411,,,,,,,,,,,,,,,,,,
1 to 1 Accountancy Services Ltd,"Newport, Parking , Easy access, Newport, Wales",Accountant,http://www.1to1accounts.com,+44 1633250530,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero migration certified,Xero advisor certified,,http://www.facebook.com/1to1accountancy,https://www.twitter.com/1to1accountancy,https://www.linkedin.com/company/1-to-1-accountancy-services-limited/,,,"Repairs and personal services, 
Construction and trades, 
Professional services",,"Newport, Parking , Easy access, Newport, Wales",+44 1633250530,,,,,,,,,,,,,,,,,,
Beyond Numbers Ltd,"16 Copper Ridge, Chalfont Saint Peter, England",Accountant,#,+44 07734103421,,Bronze champion partner,Partner since 2012,Xero advisor certified,,,,,,Tim Brooker,Founder,"Transportation and storage, 
Marketing, advertising and consulting","Receipt Bank, 
FUTRLI","16 Copper Ridge, Chalfont Saint Peter, SL9 0NF, England",+44 07734103421,,,,,,,,,,,,,,,,,,
Chippendale and Clark,"SN15 1SB, Absol House, Chippenham, England",Accountant,http://www.chippendaleandclark.com,+44 1249 465435,,Bronze partner,Partner since 2016,Xero advisor certified,,,,https://www.twitter.com/chippclark,,,,"Professional services, 
Construction and trades, 
Real estate and hiring services, 
Marketing, advertising and consulting","AutoEntry, 
Float","SN15 1SB, Absol House, Chippenham, SN15 1SB, England",+44 1249 465435,,,,,,,,,,,,,,,,,,
Abacus Agent,"27 North Road, London, England",Accountant,https://abacusagent.co.uk/,+36 7575757595,,Bronze champion partner,Partner since 2016,Xero advisor certified,,,https://www.facebook.com/abacusagent.co.uk/,,,,,"Construction and trades, 
Transportation and storage, 
Arts and recreation",Hubdoc,"27 North Road, London, SW19 1AQ, England",+36 7575757595,,,,,,,,,,,,,,,,,,
Simplified Accounting Limited,"Towcester, Towcester, England",Accountant,,,Making Tax Digital Ready,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,http://www.facebook.com/SimplifiedAccountingLtd,,,Rachael Savage,Chartered Accountant,Retail,Shopify,"Towcester, Towcester, NN12, England",,,,,,,,,,,,,,,,,,,
Cirrusli Ltd,"9 Willet Street, Bideford, England",Accountant,http://www.cirrusli.co.uk,+44 1237 320262,,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,https://en-gb.facebook.com/CirrusliLtd/,,,,,Professional services,AutoEntry,"9 Willet Street, Bideford, EX39 2NZ, England",+44 1237 320262,,,,,,,,,,,,,,,,,,
RJJ Accountancy & Bookkeeping Limited,"Cardiff, Cardiff, Wales",Accountant,#,+44 7807023435,,Bronze champion partner,Partner since 2018,Xero advisor certified,Xero payroll certified,,,,,,,Wholesale,Hubdoc,"Cardiff, Cardiff, Wales",+44 7807023435,,,,,,,,,,,,,,,,,,
Virtus Solutions Ltd,"Buckingham Road, Tamworth, England",Bookkeeper,http://virtussolutions.co.uk,+44 07762 792889,,Bronze partner,Partner since 2018,Xero advisor certified,Xero migration certified,,https://www.facebook.com/VirtusSolutionsLtd/?modal=admin_todo_tour,,,,,"Marketing, advertising and consulting, 
Administration and support services, 
Professional services",,"Buckingham Road, Tamworth, B79 7TU, England",+44 07762 792889,,,,,,,,,,,,,,,,,,
Canning & Partners,"10 Meadow Street, Bristol, England",Accountant,http://www.canningandpartners.co.uk,+44 01179081058,,Bronze champion partner,Partner since 2016,Xero advisor certified,Xero payroll certified,,,,,,,"Arts and recreation, 
Retail","Receipt Bank, 
iZettle","10 Meadow Street, Bristol, BS11 9AR, England",+44 01179081058,,,,,,,,,,,,,,,,,,
DJH Accountants Ltd,"High Street, Newcastle, England",Accountant,http://www.djh.co.uk,+44 1782710101,,Bronze champion partner,Partner since 2012,Xero advisor certified,,,https://en-gb.facebook.com/djhaccountantsltd/,,https://www.linkedin.com/company/djh-accountants-ltd/,Stacey Parr,Corporate Manager,Professional services,Receipt Bank,"High Street, Newcastle, ST5 0EZ, England",+44 1782710101,,,,,,,,,,,,,,,,,,
Simon Hollingdale Accounts,"TN21 0RU, Waldron, England",Accountant,http://www.shaccounts.co.uk,+44 1273252866,Making Tax Digital Ready,Bronze champion partner,Partner since 2017,Xero advisor certified,Xero migration certified,,,,,,,"Construction and trades, 
Retail, 
Healthcare and social services, 
Professional services","Hubdoc, 
AutoEntry","TN21 0RU, Waldron, TN21 0RU, England",+44 1273252866,,,,,,,,,,,,,,,,,,
